0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-SIE-theta_E,1-galaxy-mass-0-SIE-q,1-galaxy-mass-0-SIE-phi,1-galaxy-mass-0-SIE-center_x,1-galaxy-mass-0-SIE-center_y,3-galaxy-light-0-IrregularGrid-lambda,3-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-mass-0-PixelatedRegularGridPotential-lambda,2-galaxy-mass-0-PixelatedRegularGridPotential-l_corr,probability_weights
0.083208,-48.471900,0.921521,0.790369,35.254080,0.090793,0.037745,877.400678,0.968994,845801.837483,0.055747,0
0.010767,-36.260875,0.888902,0.828238,41.590965,0.070574,0.017834,0.099892,0.404408,688859.217648,0.332182,0
0.090091,-56.549413,1.071714,0.861197,33.241115,-0.018274,0.038038,0.009924,0.505173,826704.708984,0.376729,0
0.005350,-43.169006,1.109754,0.703196,58.155820,-0.032956,-0.070706,0.237448,0.054075,0.071143,0.041747,0
0.031258,-51.426082,0.825722,0.980450,69.369099,0.022580,-0.051484,15.188680,0.108988,0.001352,0.058643,0
0.063049,-58.652638,1.073459,0.802930,59.109497,-0.045839,-0.097426,0.024569,0.965038,602312.164327,0.055747,0
0.076823,-59.590008,1.037570,0.890721,31.647313,0.079871,-0.070761,72.397361,0.425416,67164.768682,0.997893,0
0.018545,-57.784430,0.811894,0.995474,43.116171,0.017860,0.059434,3.603488,0.102452,15104.471019,0.056169,0
0.094960,-54.384992,0.854396,0.972021,33.175247,0.029219,-0.074160,0.002079,0.936388,0.001655,0.057388,0
0.085514,-59.660873,0.933540,0.970317,66.579561,0.013375,-0.055175,719.148759,0.466545,87680.191994,0.171082,0
0.030802,-42.004826,0.831841,0.955181,39.431007,0.089264,0.028689,0.000174,0.871948,0.253146,0.640033,0
0.004260,-50.706487,1.028162,0.839553,62.495921,0.057368,-0.087110,0.000101,0.660493,0.000120,0.658321,0
0.020191,-48.426314,0.856767,0.914574,56.589255,-0.039383,-0.056512,0.030735,0.165777,0.014091,0.216640,0
0.008515,-58.793957,0.856355,0.937337,63.605759,0.013601,-0.031117,0.003967,0.140821,0.554717,0.191791,0
0.082106,-47.565328,1.062616,0.727655,42.099371,-0.095056,-0.030605,0.002160,0.534843,0.001552,0.095329,0
0.086350,-39.877046,1.059962,0.867805,47.871978,0.058227,-0.082198,0.002226,0.108025,0.013534,0.058148,0
0.089194,-41.027462,0.888860,0.967890,35.470462,-0.097058,-0.091674,0.131420,0.230886,0.000149,0.133569,0
0.078386,-40.716388,0.882001,0.941542,52.389016,0.097925,0.042539,13.953374,0.363381,0.001152,0.661484,0
0.094419,-35.267932,1.010721,0.960422,60.315084,0.080835,0.057929,0.000162,0.041037,0.007336,0.283609,0
0.037358,-42.496536,0.928128,0.745640,42.365944,0.063516,0.034180,0.000151,0.077129,0.005087,0.688469,0
0.030453,-40.512033,0.867261,0.881019,57.774200,0.081294,0.020002,197.306584,0.814599,15.874177,0.049750,0
0.086861,-48.677214,1.158754,0.733732,35.028369,0.099065,-0.059088,0.098091,0.068381,1.027078,0.576684,0
0.073985,-53.339872,0.858019,0.987235,62.117257,-0.025049,-0.011630,31.765726,0.354975,0.297944,0.369888,0
0.075142,-39.277040,0.888539,0.838510,59.854977,0.071535,0.098596,1.349260,0.168423,0.012093,0.067284,0
0.060195,-44.202403,1.080236,0.841577,64.617734,0.064444,0.059964,0.052883,0.545308,2.898884,0.060152,0
0.080544,-41.627028,0.905599,0.966652,60.644519,0.077266,-0.087402,14.267647,0.215091,0.000204,0.121638,0
0.091433,-47.038390,0.920312,0.854545,69.918597,0.054973,-0.055621,4.849759,0.135493,283110.226270,0.650903,0
0.015827,-52.119613,0.867132,0.926250,56.408632,0.047184,-0.004854,158.315852,0.049372,0.032932,0.596802,0
0.066452,-52.154540,0.995548,0.845713,38.931265,0.097689,-0.077604,1.606443,0.668578,0.000132,0.438040,0
0.047407,-57.553848,0.976866,0.844985,44.741404,0.020016,0.028044,0.001089,0.152347,0.001943,0.153322,0
0.010275,-54.850542,1.040263,0.920663,55.633950,0.067807,0.071722,0.001813,0.202977,0.107240,0.248895,0
0.010867,-37.191646,0.951605,0.947142,49.587352,-0.082013,-0.027705,0.002143,0.179214,0.006220,0.341017,0
0.094996,-42.600857,0.994296,0.738814,34.431472,0.025481,-0.035578,1.197491,0.677985,0.001393,0.763287,0
0.085371,-49.148903,1.096392,0.792904,53.233762,-0.059377,0.018301,21.919628,0.692952,0.038143,0.149552,0
0.093770,-59.547134,0.877915,0.989885,30.778034,-0.062707,0.005177,0.130137,0.085713,2.106421,0.283979,0
0.063120,-54.830880,1.089479,0.806665,63.685482,0.007534,0.021278,2.140756,0.054107,1.719817,0.056289,0
0.078373,-56.810953,1.016345,0.740548,42.817113,-0.010618,0.071806,0.001562,0.505436,0.035159,0.053895,0
0.003449,-53.004912,0.975930,0.944782,64.789093,-0.097703,-0.008728,4.041719,0.086180,0.000171,0.539651,0
0.001169,-53.521182,1.057415,0.768510,43.559394,0.078852,-0.036608,920.359224,0.354754,0.000305,0.095130,0
0.077623,-45.057998,0.911472,0.826726,48.285446,0.060548,0.079926,7.888609,0.100758,96409.249040,0.134746,0
0.047945,-37.104731,1.054658,0.868932,65.587454,0.077670,0.027584,0.000684,0.064069,61704.294285,0.096207,0
0.072294,-59.143608,0.899064,0.799225,68.408372,0.089845,-0.045111,17.731615,0.044108,0.022815,0.076897,0
0.026423,-45.194317,1.054182,0.755965,37.231987,-0.017436,-0.093215,7.336338,0.250192,0.002435,0.107731,0
0.033491,-51.137338,1.054442,0.703969,37.609262,0.062971,0.092056,0.653741,0.898338,0.011906,0.135229,0
0.092156,-50.367596,0.986423,0.951820,40.999408,-0.047439,0.044227,0.000168,0.044855,0.040499,0.640432,0
0.059447,-49.017247,1.074552,0.809521,62.828321,0.060802,-0.078996,0.000601,0.657081,733.086296,0.840110,0
0.019001,-40.487035,0.919157,0.827094,60.980575,-0.085797,0.048703,50.696780,0.826311,0.161178,0.103539,0
0.049849,-37.574046,1.091224,0.785030,59.737096,0.058448,-0.004688,0.145106,0.085676,24.888616,0.099580,0
0.079385,-40.794500,0.909947,0.825019,39.470260,0.027238,0.028233,0.031272,0.133360,0.172746,0.455590,0
0.055686,-57.186105,0.882723,0.934240,41.530092,-0.094263,-0.087616,8.206395,0.220239,14.422762,0.070467,0
0.066704,-53.133859,0.875436,0.982392,36.504977,-0.031421,0.023435,0.888701,0.313633,6.985071,0.058742,0
0.034947,-54.288604,0.926920,0.958069,48.385463,-0.059363,0.016483,0.199558,0.775450,0.039927,0.147974,0
0.028228,-50.537548,0.836574,0.954907,63.807118,-0.004330,0.014251,275.188871,0.084793,228.038610,0.092852,0
0.011723,-42.991375,0.943735,0.976309,66.531014,0.012834,0.022849,0.000770,0.766788,2.414441,0.225385,0
0.075977,-39.196778,0.924046,0.981139,33.082211,-0.047852,-0.077486,0.120727,0.453399,0.004780,0.352516,0
